Order_ID,Product,Category,Sales,Profit,Quantity,Order_Date
1001,Laptop,Electronics,50000,8000,1,2025-01-05
1002,Mouse,Electronics,1000,200,2,2025-01-06
1003,Chair,Furniture,5000,1000,1,2025-01-07
1004,Table,Furniture,8000,1500,1,2025-01-08
1005,Phone,Electronics,30000,5000,1,2025-01-09
1006,Keyboard,Electronics,2000,400,2,2025-01-10
1007,Sofa,Furniture,25000,4000,1,2025-01-11
1008,Bookshelf,Furniture,12000,2500,1,2025-01-12
1009,Headphones,Electronics,4000,800,2,2025-01-13
1010,Smartwatch,Electronics,15000,3000,1,2025-01-14
1011,Bed,Furniture,35000,7000,1,2025-01-15
1012,Printer,Electronics,10000,1800,1,2025-01-16
1013,Monitor,Electronics,18000,3500,1,2025-01-17
1014,Coffee Table,Furniture,7000,1200,1,2025-01-18
1015,Wardrobe,Furniture,28000,5500,1,2025-01-19
1016,Tablet,Electronics,22000,4200,1,2025-01-20
1017,Speakers,Electronics,6000,1000,2,2025-01-21
1018,Dining Table,Furniture,32000,6000,1,2025-01-22
1019,Webcam,Electronics,2500,500,2,2025-01-23
1020,Office Chair,Furniture,9000,1700,1,2025-01-24
1021,Phone,Electronics,28000,4800,1,2025-01-25
1022,Laptop,Electronics,52000,8500,1,2025-01-26
1023,Sofa,Furniture,27000,4500,1,2025-01-27
1024,Monitor,Electronics,17000,3200,1,2025-01-28
1025,Bookshelf,Furniture,11000,2200,1,2025-01-29
1026,Keyboard,Electronics,2200,450,2,2025-01-30
1027,Tablet,Electronics,21000,4000,1,2025-01-31
1028,Bed,Furniture,36000,7200,1,2025-02-01
1029,Smartwatch,Electronics,16000,3100,1,2025-02-02
1030,Office Chair,Furniture,9500,1800,1,2025-02-03